CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"8837","ACCT 200","2","Accounting Concepts","3","","Lec","MWF","0800-0850","FORBES 2014","Williams, LaMonte","1","Open","20","21","","","","","",
"8827","ACCT 201","1","Principles of Accounting I","3","","Lec","MWF","0800-0850","FORBES 2070A","Mecham, Nathan","-1","Closed","24","23","","","","","",
"8828","ACCT 201","2","Principles of Accounting I","3","","Lec","MWF","0900-0950","LUTR 105","Walker, George","-5","Closed","28","23","","","","","",
"8829","ACCT 201","3","Principles of Accounting I","3","","Lec","TR","1100-1215","MCM 110","Scott, Mary","-3","Closed","26","23","","","","","",
"8830","ACCT 201","4","Principles of Accounting I","3","","Lec","TR","1330-1445","FORBES 2074","Scott, Mary","-7","Closed","30","23","","","","","",
"8831","ACCT 201","5","Principles of Accounting I","3","","Lec","MWF","1000-1050","LUTR 105","Walker, George","-4","Closed","27","23","","","","","",
"8832","ACCT 201","6","Principles of Accounting I","3","","Lec","MWF","1400-1450","LUTR 170","Walker, George","-2","Closed","25","23","","","","","",
"8833","ACCT 201","7","Principles of Accounting I","3","","Lec","MWF","1300-1350","LUTR 109","Walker, George","-3","Closed","26","23","","","","","",
"8823","ACCT 202","2","Principles of Accounting II","3","","Lec","TR","1330-1445","FORBES 1022","Blake, Conner","1","Open","29","30","","","","","",
"8834","ACCT 301","1","Intermediate Accounting I","3","","Lec","MWF","1200-1250","LUTR 264","Mecham, Nathan","-14","Closed","34","20","","","","","",
"9259","ACCT 301","2","Intermediate Accounting I","3","","Lec","MWF","0900-0950","FORBES 2070C","Mecham, Nathan","4","Open","21","25","","","","","",
"8824","ACCT 370","1","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1100-1215","LUTR 123","Blake, Conner","-3","Closed","33","30","","","","","",
"9258","ACCT 370","2","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1500-1615","LUTR 123","Blake, Conner","-3","Closed","28","25","","","","","",
"8825","ACCT 405","1","Principles of Auditing","3","","Lec","MWF","1300-1350","LUTR 242","Kugel, Jonathan","0","Closed","26","26","","","","","",
"8835","ACCT 407","1","Individl Compliance &amp; Planning","3","","Lec","TR","0930-1045","MCM 312","Scott, Mary","9","Open","16","25","","","","","",
"8826","ACCT 451","1","Govt &amp; Not for Profit Accnting","3","","Lec","MWF","1000-1050","FORBES 2070C","Kugel, Jonathan","6","Open","16","22","","","","","",
"8838","ACCT 500","1","Adv Finc Statement Analysis","3","","Lec","MW","1600-1715","LUTR 242","Donaldson, William","1","Open","4","5","","","","","",
"8839","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","TR","1500-1615","FORBES 2014","Scott, Mary","26","Open","4","30","","","","","",
"8840","ACCT 570","1","Data Management &amp; Analytics","3","","Lec","MW","1800-1915","LUTR 123","Chen, Xian","3","Open","2","5","","","","","",
"8841","ACCT 572","1","Cybr Security for Finc &amp; Acct","3","","Lec","MW","1930-2045","LUTR 242","Marlowe, Kevin","3","Open","2","5","","","","","",
"9180","AMST 100","1","The American Experiment","3","  AIDE","Lec","MW","1600-1715","MCM 360","Alexander, Jacob","4","Open","15","19","","","","","Yes",
"8070","AMST 100","1M","The American Experiment","3","  AIDE","Lec","MWF","1000-1050","MCM 360","Garmon, Frank","2","Open","27","29","","","","","Yes",
"8071","AMST 100","2M","The American Experiment","3","  AIDE","Lec","MWF","1100-1150","MCM 360","Garmon, Frank","3","Open","26","29","","","","","Yes",
"8072","AMST 100","3M","The American Experiment","3","  AIDE","Lec","TR","1330-1445","MCM 101","White, Jonathan","1","Open","119","120","","","","","Yes",
"8073","AMST 100","4M","The American Experiment","3","  AIDE","Lec","MWF","1100-1150","TFAC 205","Kaufer Busch, Elizabeth","4","Open","22","26","","","","","Yes",
"8074","AMST 100","5M","The American Experiment","3","  AIDE","Lec","MWF","1400-1450","MCM 364","Little, David","4","Open","15","19","","","","","Yes",
