CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"2068","ACCT 201","ON1","Principles of Accounting I","3","","Lec","MTWRF","1300-1615","SYN ","Scott, Mary","18","Open","7","25","","","","","",
"2021","ACCT 202","ON1","Principles of Accounting II","3","","Lec","MTWRF","0900-1215","SYN ","Scott, Mary","19","Open","4","23","","","","","",
"2069","ACCT 202","ON2","Principles of Accounting II","3","","Lec","","","ASY ","Scott, Mary","8","Open","17","25","","","","","",
"2047","ANTH 200","ON1","Human Adaptation","3","  AINW","Lec","","","ASY ","Timmer, Andria","2","Open","10","12","","","","","Yes",
"2048","ANTH 203","ON1","Cultural Anthropology","3","  AIGM","Lec","","","ASY ","Fella, Alexander","-2","Closed","14","12","","","","","",
"2025","BIOL 107","1","General Biology I","3","  AINW","Lec","MTWRF","0900-1215","FORBES 2015","Haymond, Shauna","25","Open","23","48","","","","","",
"2026","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","MTWRF","1300-1450","FORBES 1027","Haymond, Shauna","5","Open","19","24","","","","","",
"2072","BIOL 113","ON1","Topics in Medicine and Health","3","  AINW","Lec","","","ASY ","Webb, Lisa","1","Open","23","24","","","","","",
"2028","BIOL 271","1","Medical Terminology","3","","Lec","MTWRF","0900-1215","FORBES 2070D","Grau, Harold","18","Open","6","24","","","","","",
"2029","BIOL 319","ON1","Nutrition &amp; Energy Homeostasis","3","","Lec","","","ASY ","Knight, William","12","Open","27","39","","","","","",
"2031","BIOL 391","ON2","WI: Junior Seminar","1","  WI","Lec","MTWRF","1000-1050","SYN ","Salazar, Anna","1","Open","6","7","","","","","",
"2020","BUSN 251","ON1","Business Law I","3","","Lec","","","ASY ","Ficht, Linda","1","Open","19","20","","","","","",
"2073","BUSN 311","ON1","Marketing Management","3","","Lec","","","ASY ","Kim, Dae-Hee","3","Open","17","20","","","","","",
"2034","CHEM 103","ON1","Introductory Chemistry I","3","  AINW","Lec","MTWRF","1300-1615","SYN ","Webb, Lisa","28","Open","11","39","","","","","Yes",
"2009","CLST 212","ON1","Roman Culture","3","  AIWT","Lec","","","ASY ","Pollio, David","1","Open","23","24","","","","","Yes",
"2002","COMM 357","ON1","Tpcs in Media, Comm &amp; Pop Cult","3","","Lec","MTWRF","1300-1615","SYN ","Smith, James","8","Open","4","12","","","","","Yes",
