CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"4013","BIOL 108","ON1","General Biology II","3","  AINW","Lec","","","ASY ","Haymond, Shauna","2","Open","27","29","","","","","",
"4002","CHEM 222","ON1","Organic Chemistry II","3","","Lec","","","ASY ","Liskin, Dmitry","6","Open","18","24","","","","","Yes",
"4015","ENVS 599","1","IND ST: Applied Biostatistics","3","","Ind","","","ARR ","Steven, Janet","-1","Closed","1","0","","","","","",
"4021","ENVS 699","2","Thesis Research","1","","Ind","","","ARR ","Lattanzio, Matthew","-1","Closed","1","0","","","","","",
"4017","FNAR 491","1","PRT: Photo &amp; Content Creation","3","","Pra","","","ARR ","Skees, Kristin","-1","Closed","1","0","","","","","",
"4023","MKTG 310","1","Consumer Behavior","3","","Ind","","","ARR ","Kim, Dae-Hee","-1","Closed","1","0","","","","","",
"4019","MUSC 595","1","SPC TP: Dalcroze Workshop","1 - 3","","Lec","","","ARR ","Butke, Marla; Lambert, Lynn; Frego, R J David","-1","Closed","1","0","","","","","",
"4022","PCSE 699","2","Thesis Research","1 - 9","","Ind","","","ARR ","Monaghan, Peter","-1","Closed","1","0","","","","","",
"4003","PHYS 152","1","College Physics II","3","  AINW","Lec","MTWR","0900-1130","FORBES 3012","Gore, David","7","Open","5","12","","","","","Yes",
"4004","PHYS 152L","1","College Physics II Laboratory","1","  AINW","Lab","MTWR","1230-1515","LUTR 306","Gore, David","7","Open","5","12","","","","","Yes",
"4007","TCHG 517","2","Curriculum and Instruction II","1","","Lec","TR","1630-1820","MCM 160","Connell, Cynthia","-1","Closed","15","14","","","","","",
"4008","TCHG 517","3","Curriculum and Instruction II","1","","Lec","TR","1330-1520","MCM 212","Ward, Karyn","0","Closed","19","19","","","","","",
"4010","TCHG 543","2","Classroom Mgmt and Discipline","2","","Lec","TWR","1030-1245","MCM 162","Powell, Linda","2","Open","17","19","","","","","Yes",
"4011","TCHG 543","3","Classroom Mgmt and Discipline","2","","Lec","MTW","1100-1315","MCM 200C","Filetti, Jean","0","Closed","7","7","","","","","Yes",
"4012","TCHG 543","4","Classroom Mgmt and Discipline","2","","Lec","TWR","1015-1230","MCM 210","Cabello, Nathan","1","Open","9","10","","","","","Yes",
