CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"8981","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","1200-1250","FORBES 3014","Mecham, Nathan","0","Closed","30","30","","","","","",
"8982","ACCT 200","2","Accounting Concepts","3","","Lec","MWF","1400-1450","FORBES 3014","Mecham, Nathan","5","Open","25","30","","","","","",
"8988","ACCT 201","1","Principles of Accounting I","3","","Lec","MWF","1000-1050","LUTR 137","Walker, George","-5","Closed","29","24","","","","","",
"8989","ACCT 201","2","Principles of Accounting I","3","","Lec","MWF","1300-1350","LUTR 264","Walker, George","-3","Closed","27","24","","","","","",
"8990","ACCT 201","3","Principles of Accounting I","3","","Lec","MWF","1400-1450","LUTR 137","Walker, George","0","Closed","24","24","","","","","",
"8974","ACCT 202","1","Principles of Accounting II","3","","Lec","MWF","1200-1250","FORBES 2070E","Blake, Conner","-1","Closed","25","24","","","","","",
"8976","ACCT 202","2","Principles of Accounting II","3","","Lec","MWF","1000-1050","LUTR 269","Blake, Conner","0","Closed","24","24","","","","","",
"8983","ACCT 202","3","Principles of Accounting II","3","","Lec","TR","1330-1445","LUTR 121","Scott, Mary","-14","Closed","38","24","","","","","",
"8984","ACCT 202","4","Principles of Accounting II","3","","Lec","TR","1100-1215","MCM 262","Scott, Mary","-6","Closed","30","24","","","","","",
"8987","ACCT 202","5","Principles of Accounting II","3","","Lec","MWF","0900-0950","LUTR 137","Walker, George","-4","Closed","28","24","","","","","",
"8980","ACCT 301","1","Intermediate Accounting I","3","","Lec","MWF","1000-1050","FORBES 3014","Mecham, Nathan","13","Open","11","24","","","","","",
"8978","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1100-1150","FORBES 2015","Kugel, Jonathan","4","Open","51","55","","","","","",
"8975","ACCT 307","1","WI: Intermed Managerl Acct/Dat","3","  WI","Lec","MWF","0900-0950","LUTR 109","Blake, Conner","-6","Closed","30","24","","","","","",
"8977","ACCT 307","2","WI: Intermed Managerl Acct/Dat","3","  WI","Lec","MWF","0900-0950","TRIB 208","Kugel, Jonathan","7","Open","23","30","","","","","",
"8985","ACCT 401","1","Introduction to Taxation","3","","Lec","TR","0930-1045","FORBES 2015","Scott, Mary","-9","Closed","54","45","","","","","",
"8986","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Scott, Mary","-3","Closed","27","24","","","","","Yes",
"8979","ACCT 552","1","Financial Reg &amp; Prof Responsib","3","","Lec","MW","1600-1715","LUTR 269","Kugel, Jonathan","7","Open","17","24","","","","","Yes",
"8001","AMST 100","1","The American Experiment","3","  AIDE","Lec","MWF","1200-1250","MCM 160","Garmon, Frank","1","Open","25","26","","","","","Yes",
"9068","AMST 100","10","The American Experiment","3","  AIDE","Lec","TR","1330-1445","FORBES 1022","White, Jonathan","6","Open","114","120","","","","","",
"8002","AMST 100","2","The American Experiment","3","  AIDE","Lec","MWF","1300-1350","MCM 160","Garmon, Frank","4","Open","22","26","","","","","Yes",
"8004","AMST 100","4","The American Experiment","3","  AIDE","Lec","MWF","1400-1450","MCM 257","Little, David","2","Open","24","26","","","","","Yes",
"8005","AMST 100","5","The American Experiment","3","  AIDE","Lec","MWF","1500-1550","MCM 257","Little, David","1","Open","18","19","","","","","Yes",
"8006","AMST 100","6","The American Experiment","3","  AIDE","Lec","MW","1600-1715","MCM 257","Little, David","0","Closed","19","19","","","","","Yes",
"8010","AMST 120","1","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1630-1745","FORBES 2014","Mims, William","-1","Closed","27","26","","","","","Yes",
"8011","AMST 200","1","American Experiemnt: Evolution","3","  AIWT","Lec","MWF","1100-1150","MCM 257","Kaufer Busch, Elizabeth","0","Closed","26","26","","","","","Yes",
"9167","AMST 300","2","The American Exp: Global Infl","3","  AIGM","Lec","TR","1630-1745","MCM 160","McCarthy, William","1","Open","17","18","","","","","",
"8013","AMST 335","1","Moot Court","3","","Lec","MW","1800-1915","MCM 207","Alexander, Jacob","3","Open","16","19","","","","","Yes",
"8966","AMST 345","1","American Epidemics &amp; Constitut","3","","Lec","TR","1330-1445","FORBES 2088","Mims, William","1","Open","9","10","","","","","Yes",
