CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,Status,Low Cost Textbook,Capacity,Enrolled,Instructor Type,Term
8093,PHYS 151,ON1,College Physics I,3,"AINW, GE, NSCI, SCIE, XNAT",Lec,TR,1500-1615,Synchronous Online Course ,Ryan Fisher,3,OPEN,,99,96,Full Time,Fall Semester 2020
8360,PSYC 315,ON2,Psychology-Abnormal Behavior,3,,Lec,TR,0800-0915,Synchronous Online Course ,Michelle Lange,8,OPEN,,44,36,Full Time,Fall Semester 2020
8019,CPSC 110,ON2,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MW,1930-2045,Synchronous Online Course ,Kenneth Hawkins,4,OPEN,,49,45,Adjunct,Fall Semester 2020
9236,RSTD 212,ON3,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,TR,1930-2045,Synchronous Online Course ,Richard Freund,6,OPEN,,20,14,Full Time,Fall Semester 2020
8478,HONR 020,1,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,0,CLOSED,,49,49,Full Time,Fall Semester 2021
8326,MUSC 496,1,Vocal Pedagogy,3,LETR,Lec,MWF,1000-1050,Ferguson Center for the Arts A183,Rachel Holland,13,OPEN,,19,6,Full Time,Spring Semester 2022
8837,ENGL 421,1,Shakespeare,3,LETR,Lec,TR,0930-1045,Lewis McMurran Hall 257,Jessica Apolloni,0,CLOSED,,25,25,Adjunct,Fall Semester 2021
8169,CPSC 110,2M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1300-1350,Joseph W. Luter III Hall 258,Kimberly Davis,1,OPEN,,45,44,Full Time,Fall Semester 2022
9121,MUSC 135,1,Music Fundamentals,1,,Lec,M,1100-1150,Ferguson Center for the Arts 210,Michael McNeill,5,OPEN,,19,14,Adjunct,Fall Semester 2021
9065,MKTG 460,2,Integrated Marketing Communic,3,,Lec,TR,1800-1915,Forbes Hall 2070A,Dae-Hee Kim,0,CLOSED,,19,19,Full Time,Fall Semester 2022
9135,SOCL 340,1,Statistics for Social Research,3,,Lec,TR,1500-1615,Joseph W. Luter III Hall 139,Andrew Baird,-3,CLOSED,,17,20,Full Time,Spring Semester 2021
8367,BUSN 448,1,Enterprise Management,3,,Lec,TR,0800-0915,Joseph W. Luter III Hall 105,Robert Wilson,0,CLOSED,,19,19,Adjunct,Spring Semester 2023
8163,FNAR 201,1,World Art in Context I,3,"AICE, LETR, XFAH",Lec,MWF,1000-1050,Torggler Fine Arts Center 102,Kelly O'Connor-Salomon,1,OPEN,,45,44,Adjunct,Spring Semester 2024
8657,HIST 347,1,Atlntc Wrld Encountr 1400-1700,3,"LETR, OTHR",Lec,MWF,1300-1350,Lewis McMurran Hall 114,Bill Connell,0,CLOSED,,19,19,Full Time,Spring Semester 2023
8511,BIOL 211,3,Principles of Biology I,3,,Lec,TR,0800-0915,Forbes Hall 2015,Chris Meighan,1,OPEN,,24,23,Full Time,Spring Semester 2023
9174,CPSC 110,5M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1300-1350,Joseph W. Luter III Hall 258,Kimberly Davis,3,OPEN,,45,42,Adjunct,Fall Semester 2023
8202,ENGL 421,1,Shakespeare,3,LETR,Lec,TR,0930-1045,Lewis McMurran Hall 160,Jessica Apolloni,0,CLOSED,,25,25,Adjunct,Fall Semester 2024
8261,CPSC 420,2,Algorithms,3,PROF,Lec,MW,1800-1915,Joseph W. Luter III Hall 236,Scott McElfresh,0,CLOSED,,24,24,Full Time,Spring Semester 2025
8268,CPSC 521,1,Computer Architecture,3,,Lec,TR,0800-0915,Joseph W. Luter III Hall 264,Costa Gerousis,7,OPEN,,12,5,Full Time,Spring Semester 2025
8936,RSTD 212,2M,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1000-1050,Lewis McMurran Hall 257,Hussam Timani,1,OPEN,,25,24,Full Time,Fall Semester 2025
8628,COMM 389,2,Relationships and Technology,3,LOW,Lec,TR,1500-1615,Joseph W. Luter III Hall 139,David Roaché,8,OPEN,YES,24,16,Full Time,Fall Semester 2024
8757,MKTG 460,1,Integrated Marketing Communic,3,,Lec,TR,1630-1745,Science & Engineering Research 3395,Dae-Hee Kim,-4,CLOSED,,25,29,Full Time,Fall Semester 2026
8592,HONR 020,1,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,0,CLOSED,,49,49,Full Time,Spring Semester 2026
9265,FNAR 205,2,Digital Photography,3,AICE,Stu,MW,1030-1250,Torggler Fine Arts Center 219,Kristin Kiser,0,CLOSED,,16,16,Full Time,Fall Semester 2026
9178,MUSC 430,1,Wind Literature,3,LETR,Lec,TR,1500-1615,Ferguson Center for the Arts A183,Mark Reimer,18,OPEN,,20,2,Full Time,Fall Semester 2026
4010,TCHG 543,2,Classroom Mgmt and Discipline,2,,Lec,MTW,1200-1415,Lewis McMurran Hall 200B,Jean Filetti,4,OPEN,,12,8,Full Time,Summer Term II 2026
8368,DANC 260,1,African Dance in the Diaspora,3,AIGM,Lec,MW,1430-1545,Ferguson Center for the Arts ,Ann Bellecci,18,OPEN,,18,0,Full Time,Spring Semester 2027
2015,COMM 264,ON1,Comm of Info & Media Literacy,3,LLFR,Lec,,-,Asynchronous Online Course ,Scott Smith,3,OPEN,,12,9,Full Time,May Term 2026
8059,BIOL 211,1,Principles of Biology I,3,,Lec,MWF,1200-1250,Lewis McMurran Hall 114,Darlene Mitrano,0,CLOSED,,48,48,Full Time,Fall Semester 2026
8638,PSYC 207,1,Lifespan Development,3,AIII,Lec,TR,1630-1745,Forbes Hall 2070D,Fredrick Frieden,9,OPEN,,45,36,Adjunct,Spring Semester 2024
8004,ACCT 570,1,Data Management & Analytics,3,,Lec,MW,1600-1715,Joseph W. Luter III Hall 123,Sean Chen,2,OPEN,,15,13,Full Time,Fall Semester 2026
8657,LDSP 320,1,Leadership Through the Ages,3,LDSP,Lec,MWF,1300-1350,Paul & Rosemary Trible Library ,Qingyan Tian,24,OPEN,,24,0,Full Time,Spring Semester 2027
8280,CPEN 315,1,Digital System Design,3,,Lec,TR,0930-1045,Science & Engineering Research 2291,Costa Gerousis,13,OPEN,,36,23,Full Time,Spring Semester 2026
8158,FNAR 117,2,3D Design,3,LOW,Stu,MW,1800-2020,Torggler Fine Arts Center 119,Ryan Lytle,0,CLOSED,YES,17,17,Adjunct,Spring Semester 2024
9080,HONR 300,1,Seminars in the Natural World,3,HON,Lec,TR,0800-0915,Joseph W. Luter III Hall 137,David Heddle,1,OPEN,,19,18,Full Time,Spring Semester 2023
9257,MATH 499,1,Independent Research,1,"LLF, LLFM",Ind,,-,To Be Arranged ,Chris Kennedy,-1,CLOSED,,0,1,Full Time,Spring Semester 2025
9071,HONR 020,3,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,23,OPEN,,49,26,Full Time,Spring Semester 2023
8626,PMED 030,1,Pre-med Scholars Prgm Act III,0,,Fie,TR,1230-1320,Forbes Hall 1022,Gwynne Brown,23,OPEN,,48,25,Full Time,Spring Semester 2024
9046,ENGL 336,1,Arts & Entertainment Journalsm,3,,Lec,MWF,1100-1150,Lewis McMurran Hall 316,Jason Carney,13,OPEN,,19,6,Full Time,Fall Semester 2023
9319,CLAR 233,1,Applied Music: Clarinet,2,APPL,Lab,,-,To Be Arranged ,Michael Byerly,-1,CLOSED,,0,1,Adjunct,Fall Semester 2023
3014,BIOL 313,ON1,Genetics,3,,Lec,,-,Asynchronous Online Course ,Dave Knight,27,OPEN,,39,12,Adjunct,Summer Term 1 2024
8222,HONR 020,3,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,14,OPEN,,49,35,Full Time,Fall Semester 2023
8430,ECON 400,1,Econ of Intl Contracting & Org,3,"AIII, XLSB",Lec,TR,0930-1045,Joseph W. Luter III Hall 131,Travis Taylor,0,CLOSED,,15,15,Full Time,Fall Semester 2022
8002,CPEN 315,1,Digital System Design,3,,Lec,TR,0930-1045,Joseph W. Luter III Hall 170,Costa Gerousis,2,OPEN,,29,27,Full Time,Spring Semester 2023
9368,HORN 232,1,Applied Music: Horn,1,APPL,Lab,,-,To Be Arranged ,John Shawger,-1,CLOSED,,0,1,Adjunct,Spring Semester 2021
9030,MUSC 107,1,Opera CNU,1,"GE, OR",Lab,MWF,1500-1700,Ferguson Center for the Arts A183,John McGuire,-8,CLOSED,,0,8,Full Time,Fall Semester 2024
8180,CYBR 498,2,WI: Cyber Security Capstone,3,WI,Lec,MWF,1400-1450,Joseph W. Luter III Hall 323,Chris Kreider,1,OPEN,,3,2,Full Time,Spring Semester 2022
8291,CPSC 110,1,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MW,1930-2045,Joseph W. Luter III Hall ,Kenneth Hawkins,48,OPEN,,48,0,Adjunct,Spring Semester 2027
8314,CPEN 315L,1,Digital System Design Lab,1,,Lab,M,1800-2045,Joseph W. Luter III Hall 206,Jose Fernandez,3,OPEN,,18,15,Full Time,Spring Semester 2021
8168,CPSC 110,1M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1500-1550,Joseph W. Luter III Hall 258,Doretha Jones,1,OPEN,,48,47,Adjunct,Fall Semester 2022
8916,PSYC 315,2,Psychopathology,3,,Lec,TR,1800-1915,Forbes Hall 2074,Earl Riggins,11,OPEN,,35,24,Full Time,Fall Semester 2022
8792,CPSC 110,1,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MW,1800-1915,Joseph W. Luter III Hall 258,Kenneth Hawkins,0,CLOSED,,48,48,Adjunct,Spring Semester 2024
8168,FNAR 205,1,Digital Photography,3,"AICE, LOW",Stu,TR,1400-1620,Torggler Fine Arts Center 219,Kristin Kiser,1,OPEN,YES,16,15,Full Time,Spring Semester 2024
8458,CLST 212,1M,Roman Culture,3,"AIWT, LOW, XCLS",Lec,MWF,0900-0950,Lewis McMurran Hall 101,David Pollio,0,CLOSED,YES,95,95,Full Time,Fall Semester 2025
9033,ANTH 325,ON1,Food and Society,3,"AIGM, XSOC",Lec,TR,1100-1215,Synchronous Online Course ,Andria Timmer,1,OPEN,,11,10,Full Time,Fall Semester 2020
8523,PHYS 151,2,College Physics I,3,"AINW, GE, NSCI, SCIE, XNAT",Lec,TR,1100-1215,Joseph W. Luter III Hall 121,Ryan Fisher,1,OPEN,,95,94,Full Time,Fall Semester 2024
8104,BIOL 310L,1,Plant Systematics Lab,0,LOW,Lab,M,1300-1650,Forbes Hall 1033,Janet Steven,5,OPEN,YES,21,16,Full Time,Fall Semester 2026
9029,SPAN 321,1,Techniques of Translation,3,"LLF, LLFL, LOW",Lec,MWF,1200-1250,Lewis McMurran Hall 316,Andrea Pauw,5,OPEN,YES,19,14,Full Time,Spring Semester 2026
9076,HONR 310,10,300-Level Seminar,3,HON,Lec,MWF,1400-1450,Lewis McMurran Hall 360,Kyle Garton-Gundling,7,OPEN,,19,12,Full Time,Spring Semester 2026
8960,PHIL 205,2,The Anatomy of Thought,3,"AIIF, LETR, LLFR, XPRS",Lec,MWF,1200-1250,Lewis McMurran Hall 362,Eric Silverman,2,OPEN,,39,37,Full Time,Spring Semester 2023
8592,GEOG 308,2,Urban Social Geography,3,,Lec,TR,1100-1215,Joseph W. Luter III Hall 139,Johnny Finn,0,CLOSED,,6,6,Full Time,Spring Semester 2021
8049,BIOL 426,1,Human Biomechanics,3,,Lec,MWF,1200-1250,Forbes Hall 2070D,Alex Olmos,29,OPEN,,48,19,Full Time,Spring Semester 2025
8548,BIOL 450,1,Environmental Microbiology,4,,Lec,MWF,1100-1150,Forbes Hall 2070C,Jenn Knies,0,CLOSED,,19,19,Full Time,Spring Semester 2023
9150,THEA 210,2C,The Dramatic Impulse,3,"AICE, HUMN, LETR, XTHE",Lec,TR,0930-1045,Ferguson Center for the Arts 221,Kenton Jones,1,OPEN,,19,18,Full Time,Fall Semester 2023
4069,FNAR 204,S16,The Artistic Process,3,AICE,Lec,,-, ,Rebecca Wolff,-4,CLOSED,,0,4,Full Time,Extended Summer 2026
8852,CPEN 431,1,Computer Engineering Design,3,LOW,Lec,TR,1500-1615,Joseph W. Luter III Hall 204,Dali Wang,5,OPEN,YES,18,13,Full Time,Fall Semester 2024
8059,BIOL 211,4M,Principles of Biology I,3,,Lec,MWF,0900-0950,Lewis McMurran Hall 114,Darlene Mitrano,2,OPEN,,48,46,Full Time,Fall Semester 2022
8365,PSYC 336,1,"Death, Dying, & Bereavement",3,,Lec,M,1900-2145,Freeman Center T113,Sherman Lee,1,OPEN,,39,38,Full Time,Fall Semester 2020
8876,RSTD 212,2M,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1000-1050,Lewis McMurran Hall 366,Hussam Timani,1,OPEN,,24,23,Full Time,Fall Semester 2024
9140,HONR 310,6,300-Level Seminar,3,"HON, LOW",Lec,TR,1630-1745,Joseph W. Luter III Hall 131,Alex Hamed,3,OPEN,YES,19,16,Adjunct,Fall Semester 2026
8690,CPSC 110,6M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1400-1450,Joseph W. Luter III Hall 258,Kimberly Davis,3,OPEN,,45,42,Full Time,Fall Semester 2023
8224,PHIL 205,2R,The Anatomy of Thought,3,"AIIF, LETR, LLFR, XPRS",Lec,TR,1330-1445,Lewis McMurran Hall 312,Matthew Homan,6,OPEN,,38,32,Full Time,Fall Semester 2021
8737,SPAN 321,1,Techniques of Translation,3,"LLF, LLFL",Lec,TR,0930-1045,Lewis McMurran Hall 357,Sarah Finley,-1,CLOSED,,19,20,Full Time,Spring Semester 2023
8010,ACCT 302,1,Intermediate Accounting II,3,,Lec,MWF,0900-0950, ,Jonathan Kugel,25,OPEN,,25,0,Full Time,Spring Semester 2027
8328,CPSC 360,1,Programming Language Concepts,3,,Lec,MWF,0900-0950,Joseph W. Luter III Hall ,Daniel Belsky,24,OPEN,,24,0,Adjunct,Spring Semester 2027
9241,COMP 131,1,Applied Music: Composition,1,APPL,Lab,,-,To Be Arranged ,Seung-Hye Kim,0,CLOSED,,0,0,,Fall Semester 2025
8098,BIOL 315L,2,Human Anatmy/Physiology II Lab,1,,Lab,T,1300-1650,Forbes Hall ,Harold Grau,20,OPEN,,20,0,Full Time,Spring Semester 2027
8330,CPSC 420,1,Algorithms,3,PROF,Lec,MW,1800-1915,Joseph W. Luter III Hall 236,Scott McElfresh,9,OPEN,,28,19,Full Time,Spring Semester 2026
8296,HONR 030,ON1,Third Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,0,CLOSED,,49,49,Full Time,Fall Semester 2020
8753,RSTD 212,3,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1200-1250,Lewis McMurran Hall 101,Hussam Timani,4,OPEN,,18,14,Full Time,Spring Semester 2022
8539,BIOL 315L,4,Human Anatmy/Physiology II Lab,1,,Lab,W,1800-2150,Forbes Hall 2056,Dave Knight,0,CLOSED,,24,24,Full Time,Spring Semester 2022
8175,CHEM 104,1,Introductory Chemistry II,3,"AINW, GE, NSCI, OR, SCIE, XNAT",Lec,MWF,1400-1450,Forbes Hall 1022,Amanda Thorsen,23,OPEN,,95,72,Full Time,Spring Semester 2026
8786,MUSC 250,1,String Instrument Techniques,1,LETR,Lab,TR,1100-1215,Ferguson Center for the Arts ,Kimberly Ankney,19,OPEN,,19,0,Full Time,Spring Semester 2027
8049,CPSC 336,1,Network Implementation & Admin,3,PROF,Lec,TR,1330-1445,Forbes Hall 3012,Chris Kreider,2,OPEN,,20,18,Full Time,Fall Semester 2020
9447,MATH 499,3,Independent Research,1,"LLF, LLFM",Ind,,-,To Be Arranged ,Jessica Kelly,-1,CLOSED,,0,1,Full Time,Spring Semester 2022
8607,HIST 347,1,Atlntc Wrld Encountr 1400-1700,3,"LETR, OTHR",Lec,MWF,1300-1350,Lewis McMurran Hall 307,Bill Connell,1,OPEN,,19,18,Full Time,Fall Semester 2026
9275,ORGN 433,1,Applied Music: Organ,2,APPL,Lab,,-,To Be Arranged ,Kevin Kwan,-1,CLOSED,,0,1,Adjunct,Fall Semester 2022
9041,COMM 491,1,Practicum in Communication,1,CMPH,Pra,,-,To Be Arranged ,Scott Smith,-3,CLOSED,,0,3,Full Time,Spring Semester 2023
9054,THEA 210,1,The Dramatic Impulse,3,"AICE, HUMN, LETR, XTHE",Lec,TR,1330-1445,Ferguson Center for the Arts 201,Ryan Bible,1,OPEN,,26,25,Full Time,Spring Semester 2026
8153,BUSN 101,2,Introduction to Business,3,,Lec,MW,1730-1845,Lewis McMurran Hall 164,Andrew Cagle,0,CLOSED,,50,50,Adjunct,Spring Semester 2026
8051,BIOL 211,3,Principles of Biology I,3,,Lec,TR,1100-1215,Science & Engineering Research 1181,Gwynne Brown,-1,CLOSED,,48,49,Full Time,Spring Semester 2026
9014,CHIN 102,1,Beginning Chinese II,3,,Lec,MWF,1000-1050,Lewis McMurran Hall 200C,Jonathan Smith,9,OPEN,,15,6,Full Time,Spring Semester 2022
8055,BIOL 450,ON1,Environmental Microbiology,4,,Lec,MWF,1100-1150,Synchronous Online Course ,Jenn Knies,1,OPEN,,41,40,Full Time,Spring Semester 2021
8729,MGMT 355,2,Management Science,3,,Lec,MWF,1200-1250,Joseph W. Luter III Hall ,Emre Kirac,28,OPEN,,28,0,Full Time,Spring Semester 2027
8776,MUSC 310,1,Aural Skills IV,1,"LETR, LOW",Lab,TR,1330-1445,Ferguson Center for the Arts 210,Carol Cook,7,OPEN,YES,19,12,Adjunct,Spring Semester 2026
9117,LDSP 320,4,Leadership Through the Ages,3,LDSP,Lec,M,1800-2100,Joseph W. Luter III Hall 347,Shalyn Lapke,7,OPEN,,19,12,Adjunct,Spring Semester 2023
9187,THEA 210,1M,The Dramatic Impulse,3,"AICE, HUMN, LETR, XTHE",Lec,MWF,1100-1150,Ferguson Center for the Arts 221,Ryan Bible,3,OPEN,,26,23,Full Time,Fall Semester 2022
9157,HONR 310,1,300-Level Seminar,3,HON,Lec,MWF,0900-0950,Forbes Hall 2088,Russ Burke,0,CLOSED,,19,19,Full Time,Fall Semester 2024
8600,FNAR 534,1,Theory & Practice of Art Educ,3,,Lec,W,1730-2015,Torggler Fine Arts Center 325,Heather Schnell,11,OPEN,,12,1,Adjunct,Fall Semester 2022
8721,LDSP 320,ON2,Leadership Through the Ages,3,,Lec,MWF,1100-1150,Synchronous Online Course ,Qingyan Tian,4,OPEN,,19,15,Full Time,Spring Semester 2021
8116,MKTG 310,1,Consumer Behavior,3,,Lec,TR,1100-1215,Joseph W. Luter III Hall 109,Dae-Hee Kim,0,CLOSED,,24,24,Full Time,Spring Semester 2022
8170,CPSC 110,3M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1400-1450,Joseph W. Luter III Hall 258,Kimberly Davis,2,OPEN,,45,43,Adjunct,Fall Semester 2022
8170,CPSC 110,3M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MWF,1400-1450,Joseph W. Luter III Hall 258,Kimberly Davis,2,OPEN,,45,43,Full Time,Fall Semester 2022
8056,BIOL 211,4M,Principles of Biology I,3,,Lec,TR,1330-1445,Forbes Hall 2070D,Chris Meighan,5,OPEN,,48,43,Full Time,Fall Semester 2023
9248,CYBR 536,1,Web Application Security,3,,Lec,TR,1330-1445,Science & Engineering Research 3387,Chris Kreider,7,OPEN,,10,3,Full Time,Fall Semester 2026
8509,FNAR 205,1,Digital Photography,3,AICE,Stu,MW,1030-1250,Torggler Fine Arts Center ,Kristin Kiser,16,OPEN,,16,0,Full Time,Spring Semester 2027
9185,BUSN 101,7,Introduction to Business,3,,Lec,MWF,1300-1350,Joseph W. Luter III Hall 105,CNU Staff,-2,CLOSED,,30,32,,Fall Semester 2026
8596,BIOL 211,3M,Principles of Biology I,3,,Lec,MWF,1300-1350,Forbes Hall 2070D,Anna Salazar,25,OPEN,,48,23,Full Time,Fall Semester 2021
8275,CRIM 354,1,Policing in the 21st Century,3,,Lec,M,1730-2015,Joseph W. Luter III Hall 264,Nick Devlin,-1,CLOSED,,24,25,Adjunct,Spring Semester 2025
8099,BIOL 315L,3,Human Anatmy/Physiology II Lab,1,,Lab,W,1900-2150,Forbes Hall ,Eric English,20,OPEN,,20,0,Adjunct,Spring Semester 2027
9161,HONR 310,5,300-Level Seminar,3,HON,Lec,TR,0930-1045,Paul & Rosemary Trible Library 1210,Nicole Guajardo,2,OPEN,,19,17,Full Time,Fall Semester 2024
9008,SPAN 353,ON1,Intro to Spanish Literature,3,"AIWT, LLF, LLFL",Lec,TR,0930-1045,Synchronous Online Course ,Alonso Varo Varo,8,OPEN,,21,13,Full Time,Fall Semester 2020
9240,FNAR 201,4,World Art in Context I,3,"AICE, LETR, XFAH",Lec,MWF,0900-0950,Torggler Fine Arts Center 205,Kelly O'Connor-Salomon,3,OPEN,,19,16,Adjunct,Spring Semester 2022
4007,LDSP 320,S07,Leadership Through the Ages,3,LDSP,Lec,,-,To Be Arranged ,Jess Hench,0,CLOSED,,18,18,Full Time,Extended Summer 2023
4011,THEA 395,S10,Special Topics,1,LETR,Lec,,-,To Be Arranged ,Grace Godwin,11,OPEN,,16,5,Full Time,Extended Summer 2022
8666,HONR 030,3,Third Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,22,OPEN,,49,27,Full Time,Spring Semester 2021
8303,CPSC 110,3,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MW,2100-2215,Joseph W. Luter III Hall 258,Kenneth Hawkins,25,OPEN,,48,23,Adjunct,Fall Semester 2026
9183,SPAN 321,ON1,Techniques of Translation,3,"LLF, LLFL",Lec,TR,1330-1445,Synchronous Online Course ,Elaine Miller,0,CLOSED,,19,19,Full Time,Spring Semester 2021
9321,MATH 499,2,Independent Research,1,"LLF, LLFM",Ind,,-,To Be Arranged ,Brian Bradie,-2,CLOSED,,0,2,Full Time,Spring Semester 2024
9209,ANTH 395,1,Special Topic,3,,Lec,MWF,1000-1050,Joseph W. Luter III Hall 167,Chris Loy,2,OPEN,,19,17,Full Time,Spring Semester 2023
8734,CPSC 420,1,Algorithms,3,PROF,Lec,TR,0800-0915,Joseph W. Luter III Hall 258,Scott McElfresh,3,OPEN,,27,24,Full Time,Fall Semester 2023
8685,CPSC 110,1M,Introduction to Computing,3,"AIIF, GE, LLFR, XPCE",Lec,MW,1800-1915,Joseph W. Luter III Hall 258,Kenneth Hawkins,2,OPEN,,45,43,Adjunct,Fall Semester 2023
9279,BIOL 113,ON1,Topics in Medicine and Health,3,"AINW, XNAT",Lec,TR,1330-1445,Synchronous Online Course ,Abby Horten,-1,CLOSED,,48,49,Adjunct,Spring Semester 2021
8584,BIOL 409L,1,Comp Anat Vert Lab,0,,Lab,M,1300-1650,Forbes Hall 1039,David Collar,2,OPEN,,24,22,Full Time,Spring Semester 2022
