academic_unit_id,department_name,direction,teaching_assignment_count,section_count,distinct_instructor_count,subject_prefixes,sections_with_enrollment,sections_with_explicit_credits,sch_ready_section_count,sch_ready_section_percent,enrollment_total,student_credit_hours,enrollment_complete,sch_complete
academic_unit:department_accounting_finance,Department of Accounting and Finance,home_faculty_outside_department,369,369,11,"[""ACCT"", ""BUSN"", ""FINC"", ""MGMT""]",369,369,369,100.0,7556,22286.0,True,True
academic_unit:department_accounting_finance,Department of Accounting and Finance,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",home_faculty_outside_department,1566,1566,29,"[""BCHM"", ""BIOL"", ""CHEM"", ""HONR"", ""MBCH"", ""NEUR"", ""PMED"", ""PSYC""]",1566,1566,1566,100.0,27499,57133.0,True,True
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department_subjects_taught_by_outside_faculty,23,23,4,"[""ENVS""]",23,23,23,100.0,79,137.0,True,True
academic_unit:department_communication_studies,Department of Communication Studies,home_faculty_outside_department,420,420,11,"[""COMM"", ""HEAL"", ""HONR"", ""IDST"", ""LDSP""]",420,420,420,100.0,7415,22021.0,True,True
academic_unit:department_communication_studies,Department of Communication Studies,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_economics,Department of Economics,home_faculty_outside_department,310,310,9,"[""COMM"", ""DTAN"", ""ECON"", ""HONR""]",310,310,310,100.0,8018,24042.0,True,True
academic_unit:department_economics,Department of Economics,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_english,Department of English,home_faculty_outside_department,1113,1113,21,"[""COLL"", ""ENGL"", ""HIST"", ""HONR"", ""IDST"", ""TCHG""]",1113,1113,1113,100.0,20595,40362.0,True,True
academic_unit:department_english,Department of English,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,home_faculty_outside_department,277,277,6,"[""FNAR"", ""HONR"", ""IDST""]",277,277,277,100.0,4442,13204.0,True,True
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_history,Department of History,home_faculty_outside_department,441,441,11,"[""CLST"", ""ENGL"", ""HIST"", ""IDST"", ""LATN"", ""TCHG""]",441,441,441,100.0,6649,19976.0,True,True
academic_unit:department_history,Department of History,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,home_faculty_outside_department,421,421,10,"[""AMST"", ""BUSN"", ""HEAL"", ""HONR"", ""IDST"", ""LDSP"", ""MGMT""]",421,421,421,100.0,8021,23929.0,True,True
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_management_marketing,Department of Management and Marketing,home_faculty_outside_department,316,316,7,"[""ACCT"", ""BUSN"", ""CPEN"", ""CPSC"", ""FINC"", ""HONR"", ""MGMT"", ""MKTG""]",316,316,316,100.0,6201,18319.0,True,True
academic_unit:department_management_marketing,Department of Management and Marketing,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
