academic_unit_id,department_name,analytical_workforce_count,teaching_assignment_count,section_count,distinct_instructors_observed,sections_with_enrollment,sections_with_explicit_credits,sch_ready_section_count,sch_ready_section_percent,enrollment_total,student_credit_hours,enrollment_complete,sch_complete,earliest_observed_term,latest_observed_term
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,369,369,11,369,369,369,100.0,7556,22286.0,True,True,2020_fall,2027_spring
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,1760,1760,33,1760,1760,1760,100.0,28513,59079.0,True,True,2020_fall,2027_spring
academic_unit:department_communication_studies,Department of Communication Studies,13,420,420,11,420,420,420,100.0,7415,22021.0,True,True,2020_fall,2027_spring
academic_unit:department_economics,Department of Economics,9,310,310,9,310,310,310,100.0,8018,24042.0,True,True,2020_fall,2027_spring
academic_unit:department_english,Department of English,21,1113,1113,21,1113,1113,1113,100.0,20595,40362.0,True,True,2020_fall,2027_spring
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,277,277,6,277,277,277,100.0,4442,13204.0,True,True,2020_fall,2027_spring
academic_unit:department_history,Department of History,16,441,441,11,441,441,441,100.0,6649,19976.0,True,True,2020_fall,2027_spring
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,421,421,10,421,421,421,100.0,8021,23929.0,True,True,2020_fall,2027_spring
academic_unit:department_management_marketing,Department of Management and Marketing,9,316,316,7,316,316,316,100.0,6201,18319.0,True,True,2020_fall,2027_spring
academic_unit:department_mathematics,Department of Mathematics,16,730,730,15,730,730,730,100.0,15131,46116.0,True,True,2020_fall,2027_spring
academic_unit:department_military_science,Military Science,4,25,25,2,25,25,25,100.0,162,276.0,True,True,2024_fall,2027_spring
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,583,583,16,583,583,583,100.0,8102,24291.0,True,True,2020_fall,2027_spring
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,1349,1349,55,1349,1349,1349,100.0,10136,16121.0,True,True,2020_fall,2027_spring
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,524,524,12,524,524,524,100.0,9357,28009.0,True,True,2020_fall,2027_spring
academic_unit:department_political_science,Department of Political Science,11,354,354,11,354,354,354,100.0,7268,21778.0,True,True,2020_fall,2027_spring
academic_unit:department_psychology,Department of Psychology,19,607,607,15,607,607,607,100.0,13652,36550.0,True,True,2020_fall,2027_spring
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,655,655,15,655,655,655,100.0,11175,33209.0,True,True,2020_fall,2027_spring
academic_unit:sec,School of Engineering and Computing,27,1764,1764,71,1764,1764,1764,100.0,35804,88019.0,True,True,2020_fall,2027_spring
