academic_unit_id,department_name,faculty,academic_year,sch,sections,enrollment,distinct_instructors,sch_per_faculty
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2020-21,1042.0,16,360,3,80.153846
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021-22,2061.0,37,687,6,158.538462
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022-23,2574.0,44,868,7,198.0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023-24,3916.0,64,1366,9,301.230769
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024-25,4578.0,60,1544,9,352.153846
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025-26,5031.0,70,1703,10,387.0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026-27,3084.0,78,1028,11,237.230769
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2020-21,8055.0,235,4033,26,223.75
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021-22,7862.0,262,4026,27,218.388889
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022-23,8499.0,254,4113,27,236.083333
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2023-24,8460.0,260,4112,28,235.0
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2024-25,9956.0,268,4774,28,276.555556
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2025-26,11051.0,272,5015,32,306.972222
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2026-27,5196.0,209,2440,28,144.333333
academic_unit:department_communication_studies,Department of Communication Studies,13,2020-21,2950.0,48,984,9,226.923077
academic_unit:department_communication_studies,Department of Communication Studies,13,2021-22,2813.0,50,939,9,216.384615
academic_unit:department_communication_studies,Department of Communication Studies,13,2022-23,2969.0,51,995,9,228.384615
academic_unit:department_communication_studies,Department of Communication Studies,13,2023-24,4109.0,65,1391,11,316.076923
academic_unit:department_communication_studies,Department of Communication Studies,13,2024-25,3888.0,72,1326,11,299.076923
academic_unit:department_communication_studies,Department of Communication Studies,13,2025-26,3572.0,65,1202,11,274.769231
