academic_unit_id,department_name,faculty,academic_term,term_label,academic_year,sch,sections,enrollment,distinct_instructors
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2020_fall,Fall 2020,2020-21,516.0,8,172,3
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_spring,Spring 2021,2020-21,526.0,8,188,3
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_may,Maymester 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_summer_1,Summer I 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_extended_summer,Extended Summer 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_summer_2,Summer II 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_fall,Fall 2021,2021-22,1071.0,19,357,6
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_spring,Spring 2022,2021-22,972.0,17,324,6
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_may,Maymester 2022,2021-22,18.0,1,6,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_summer_1,Summer I 2022,2021-22,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_extended_summer,Extended Summer 2022,2021-22,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_summer_2,Summer II 2022,2021-22,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_fall,Fall 2022,2022-23,1251.0,22,417,7
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_spring,Spring 2023,2022-23,1323.0,22,451,7
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_may,Maymester 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_summer_1,Summer I 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_extended_summer,Extended Summer 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_summer_2,Summer II 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_fall,Fall 2023,2023-24,1796.0,31,622,9
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_spring,Spring 2024,2023-24,2036.0,30,716,8
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_may,Maymester 2024,2023-24,84.0,3,28,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_summer_1,Summer I 2024,2023-24,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_extended_summer,Extended Summer 2024,2023-24,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_summer_2,Summer II 2024,2023-24,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_fall,Fall 2024,2024-25,2127.0,29,709,9
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_spring,Spring 2025,2024-25,2340.0,29,798,9
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_may,Maymester 2025,2024-25,51.0,1,17,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_summer_1,Summer I 2025,2024-25,60.0,1,20,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_extended_summer,Extended Summer 2025,2024-25,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_summer_2,Summer II 2025,2024-25,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_fall,Fall 2025,2025-26,2295.0,31,765,10
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_spring,Spring 2026,2025-26,2502.0,34,860,10
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_may,Maymester 2026,2025-26,96.0,2,32,2
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_summer_1,Summer I 2026,2025-26,120.0,2,40,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_extended_summer,Extended Summer 2026,2025-26,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_summer_2,Summer II 2026,2025-26,18.0,1,6,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_fall,Fall 2026,2026-27,3084.0,37,1028,11
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2027_spring,Spring 2027,2026-27,0.0,41,0,11
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2020_fall,Fall 2020,2020-21,4055.0,108,2013,24
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_spring,Spring 2021,2020-21,3833.0,115,1934,26
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_may,Maymester 2021,2020-21,37.0,3,17,3
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_summer_1,Summer I 2021,2020-21,113.0,6,60,4
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_extended_summer,Extended Summer 2021,2020-21,0,0,0,0
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_summer_2,Summer II 2021,2020-21,17.0,3,9,2
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_fall,Fall 2021,2021-22,3764.0,119,1974,25
