academic_year,academic_unit_id,department,governed_major_count,estimated_major_count,excluded_or_unobserved_major_count,estimated_graduates,estimate_complete_for_department,included_major_ids,excluded_or_unobserved_major_ids
2020-21,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,55,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2020-21,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,14,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2020-21,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,107,True,"[""undergraduate_major:communication""]",[]
2020-21,academic_unit:department_economics,Department of Economics,1,1,0,24,True,"[""undergraduate_major:economics""]",[]
2020-21,academic_unit:department_english,Department of English,1,1,0,47,True,"[""undergraduate_major:english""]",[]
2020-21,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,3,True,"[""undergraduate_major:art_history""]",[]
2020-21,academic_unit:department_history,Department of History,1,1,0,52,True,"[""undergraduate_major:history""]",[]
2020-21,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2020-21,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,60,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2020-21,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2020-21,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2020-21,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,38,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2020-21,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,16,True,"[""undergraduate_major:philosophy""]",[]
2020-21,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2020-21,academic_unit:department_psychology,Department of Psychology,1,1,0,150,True,"[""undergraduate_major:psychology""]",[]
2020-21,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,1,3,22,False,"[""undergraduate_major:social_work""]","[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:sociology""]"
2020-21,academic_unit:sec,School of Engineering and Computing,6,5,1,166,False,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science""]","[""program.physics""]"
2021-22,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,61,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2021-22,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,10,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2021-22,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,95,True,"[""undergraduate_major:communication""]",[]
2021-22,academic_unit:department_economics,Department of Economics,1,1,0,33,True,"[""undergraduate_major:economics""]",[]
2021-22,academic_unit:department_english,Department of English,1,1,0,35,True,"[""undergraduate_major:english""]",[]
