academic_year,major_id,major,owning_academic_unit_id,owning_academic_unit_name,department_aggregation_eligible,estimation_status,estimated_graduates,capstone_section_count,capstone_enrollment_observed,estimation_course_ids,estimation_method,confidence,limitations
2020-21,program.computer_engineering,Computer Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,42,2,42,"[""CPEN 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,program.computer_science,Computer Science,academic_unit:sec,School of Engineering and Computing,True,estimated,54,3,54,"[""CPSC 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,program.cybersecurity,Cybersecurity,academic_unit:sec,School of Engineering and Computing,True,estimated,2,1,2,"[""CYBR 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,program.electrical_engineering,Electrical Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,26,2,26,"[""EENG 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,program.information_science,Information Science,academic_unit:sec,School of Engineering and Computing,True,estimated,42,3,42,"[""CPSC 445""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,program.physics,Physics,academic_unit:sec,School of Engineering and Computing,True,not_observed,,0,,"[""PHYS 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:accounting,Accounting,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:american_studies,American Studies,academic_unit:office_provost,Office of the Provost,False,estimated,27,2,27,"[""AMST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:anthropology,Anthropology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:art_history,Art History,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,True,estimated,3,1,3,"[""FNAR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:biochemistry,Biochemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:biology,Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:cellular_molecular_physiological_biology,"Cellular, Molecular and Physiological Biology",academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:chemistry,Chemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,estimated,14,1,14,"[""CHEM 492""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:classical_studies,Classical Studies,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:communication,Communication,academic_unit:department_communication_studies,Department of Communication Studies,True,estimated,107,7,107,"[""COMM 452""]",required_capstone_enrollment,medium,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:computational_applied_mathematics,Computational and Applied Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:criminology,Criminology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:economics,Economics,academic_unit:department_economics,Department of Economics,True,estimated,24,3,24,"[""ECON 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:english,English,academic_unit:department_english,Department of English,True,estimated,47,3,47,"[""ENGL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:environmental_studies,Environmental Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:finance,Finance,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,estimated,55,2,55,"[""FINC 428""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2020-21,undergraduate_major:french,French,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
