academic_unit_id,department_name,home_faculty_count,home_faculty_teaching_assignment_count,owned_subject_prefixes,owned_subject_teaching_assignment_count,activity_excluded_by_filters,unmapped_home_faculty_assignment_count,profile_teaching_assignment_count,profile_section_count
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,369,"[""ACCT"", ""FINC""]",504,0,0,504,504
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,1737,"[""BCHM"", ""BIOL"", ""CHEM"", ""ENVS"", ""EVST"", ""MBCH"", ""NSCI"", ""PMED""]",2615,0,0,2615,2615
academic_unit:department_communication_studies,Department of Communication Studies,13,420,"[""COMM"", ""HEAL""]",691,0,0,691,691
academic_unit:department_economics,Department of Economics,9,310,"[""DTAN"", ""ECON""]",444,0,0,444,444
academic_unit:department_english,Department of English,21,1113,"[""ENGL""]",1062,0,0,1062,1062
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,277,"[""FNAR""]",512,0,0,512,512
academic_unit:department_history,Department of History,16,441,"[""HIST""]",728,0,0,728,728
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,421,"[""AMST"", ""LDSP""]",830,0,0,830,830
academic_unit:department_management_marketing,Department of Management and Marketing,9,316,"[""MGMT"", ""MKTG""]",237,0,0,237,237
academic_unit:department_mathematics,Department of Mathematics,16,730,"[""MATH""]",882,0,0,882,882
academic_unit:department_military_science,Military Science,4,20,"[""MLSC"", ""NAVS""]",152,0,0,152,152
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,580,"[""ARAB"", ""CHIN"", ""CLST"", ""FREN"", ""GERM"", ""GREK"", ""HBRW"", ""HUMN"", ""ITAL"", ""LATN"", ""MLAN"", ""SPAN""]",1081,0,0,1081,1081
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,832,"[""BASN"", ""BASS"", ""BTMG"", ""CELL"", ""CLAR"", ""COMP"", ""COND"", ""DANC"", ""EUPH"", ""FLUT"", ""GUIT"", ""HARP"", ""HORN"", ""IMPR"", ""MUSC"", ""OBOE"", ""ORGN"", ""PERC"", ""PIAN"", ""SAXO"", ""THEA"", ""TRMB"", ""TRPT"", ""TUBA"", ""VIOL"", ""VOIC"", ""VOLA""]",2047,0,0,2047,2047
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,524,"[""PHIL"", ""RSTD""]",680,0,0,680,680
academic_unit:department_political_science,Department of Political Science,11,354,"[""POLS""]",472,0,0,472,472
academic_unit:department_psychology,Department of Psychology,19,607,"[""CHLF"", ""PSYC""]",950,0,0,950,950
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,655,"[""ANTH"", ""CRIM"", ""GEOG"", ""SOCL"", ""SOWK""]",903,0,0,903,903
academic_unit:sec,School of Engineering and Computing,27,1092,"[""CPEN"", ""CPSC"", ""CYBR"", ""DATA"", ""EENG"", ""ENGR"", ""MECH"", ""PCSE"", ""PHYS""]",1795,0,0,1795,1795
