subject_prefix,teaching_assignment_count,section_count,earliest_term,latest_term,governed_owner_unit_id,governed_owner_display_name,owner_unit_type,owner_current_status,mapped_profile_unit_id,mapped_department_profile_id,mapping_result,sections_with_enrollment,sections_with_credits,sch_ready_section_count
ACCT,294,294,2020_fall,2027_spring,academic_unit:department_accounting_finance,Department of Accounting and Finance,department,current,academic_unit:department_accounting_finance,department_profile:department_accounting_finance:e0228c5dea1374fb,mapped,294,294,294
AMST,223,223,2020_fall,2027_spring,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,department,current,academic_unit:department_leadership_american_studies,department_profile:department_leadership_american_studies:cdb0732b247458ae,mapped,223,223,223
ANTH,128,128,2020_fall,2027_spring,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department,current,academic_unit:department_sociology_social_work_anthropology,department_profile:department_sociology_social_work_anthropology:6dda6869c020bc4d,mapped,128,128,128
ARAB,45,45,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,45,45,45
BASN,18,18,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,18,18,18
BASS,4,4,2021_fall,2024_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,4,4,4
BCHM,45,45,2020_fall,2027_spring,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,45,45,45
BIOL,1552,1552,2020_fall,2027_spring,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,1552,1552,1552
BTMG,34,34,2020_fall,2025_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,34,34,34
BUSN,663,663,2020_fall,2027_spring,academic_unit:luter_school_business,"Joseph W. Luter, III School of Business",independent_school,current,,,non_department_owner,663,663,663
CELL,21,21,2020_fall,2026_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,21,21,21
CHEM,751,751,2020_fall,2027_spring,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,751,751,751
CHIN,58,58,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,58,58,58
CHLF,4,4,2023_fall,2027_spring,academic_unit:department_psychology,Department of Psychology,department,current,academic_unit:department_psychology,department_profile:department_psychology:cad055d6dd5722d5,mapped,4,4,4
CLAR,38,38,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,38,38,38
CLST,97,97,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,97,97,97
COLL,102,102,2020_fall,2027_spring,academic_unit:office_provost,Office of the Provost,university_unit,current,,,non_department_owner,102,102,102
COMM,671,671,2020_fall,2027_spring,academic_unit:department_communication_studies,Department of Communication Studies,department,current,academic_unit:department_communication_studies,department_profile:department_communication_studies:6765b42c7ca212ed,mapped,671,671,671
COMP,59,59,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,59,59,59
COND,17,17,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,17,17,17
CPEN,128,128,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,128,128,128
CPSC,817,817,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,817,817,817
CRIM,158,158,2020_fall,2027_spring,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department,current,academic_unit:department_sociology_social_work_anthropology,department_profile:department_sociology_social_work_anthropology:6dda6869c020bc4d,mapped,158,158,158
CYBR,102,102,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,102,102,102
DANC,143,143,2020_fall,2027_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,143,143,143
DATA,12,12,2021_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,12,12,12
DTAN,7,7,2024_spring,2027_spring,academic_unit:department_economics,Department of Economics,department,current,academic_unit:department_economics,department_profile:department_economics:0da30b5e3e4e4f56,mapped,7,7,7
ECON,437,437,2020_fall,2027_spring,academic_unit:department_economics,Department of Economics,department,current,academic_unit:department_economics,department_profile:department_economics:0da30b5e3e4e4f56,mapped,437,437,437
EENG,95,95,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,95,95,95
ENGL,1062,1062,2020_fall,2027_spring,academic_unit:department_english,Department of English,department,current,academic_unit:department_english,department_profile:department_english:57d08ef0f72950e5,mapped,1062,1062,1062
ENGR,97,97,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,97,97,97
ENVS,194,194,2020_fall,2027_spring,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,194,194,194
EUPH,11,11,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,11,11,11
EVST,9,9,2021_spring,2026_fall,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,9,9,9
FINC,210,210,2020_fall,2027_spring,academic_unit:department_accounting_finance,Department of Accounting and Finance,department,current,academic_unit:department_accounting_finance,department_profile:department_accounting_finance:e0228c5dea1374fb,mapped,210,210,210
FLUT,49,49,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,49,49,49
FNAR,512,512,2020_fall,2027_spring,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,department,current,academic_unit:department_fine_art_art_history,department_profile:department_fine_art_art_history:58934a40b010cc67,mapped,512,512,512
FREN,118,118,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,118,118,118
GEOG,75,75,2021_spring,2027_spring,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department,current,academic_unit:department_sociology_social_work_anthropology,department_profile:department_sociology_social_work_anthropology:6dda6869c020bc4d,mapped,75,75,75
GERM,94,94,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,94,94,94
GREK,8,8,2020_fall,2025_fall,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,8,8,8
GUIT,6,6,2021_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,6,6,6
