academic_unit_id,department_name,analytical_workforce_count,teaching_assignment_count,section_count,distinct_instructors_observed,sections_with_enrollment,sections_with_explicit_credits,sch_ready_section_count,sch_ready_section_percent,enrollment_total,student_credit_hours,enrollment_complete,sch_complete,earliest_observed_term,latest_observed_term
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,504,504,49,504,504,504,100.0,9150,27020.0,True,True,2020_fall,2027_spring
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2615,2615,89,2615,2615,2615,100.0,47899,96319.0,True,True,2020_fall,2027_spring
academic_unit:department_communication_studies,Department of Communication Studies,13,691,691,42,691,691,691,100.0,12312,36606.0,True,True,2020_fall,2027_spring
academic_unit:department_economics,Department of Economics,9,444,444,23,444,444,444,100.0,11227,33669.0,True,True,2020_fall,2027_spring
academic_unit:department_english,Department of English,21,1062,1062,49,1062,1062,1062,100.0,16864,50468.0,True,True,2020_fall,2027_spring
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,512,512,32,512,512,512,100.0,7449,22051.0,True,True,2020_fall,2027_spring
academic_unit:department_history,Department of History,16,728,728,30,728,728,728,100.0,11868,35492.0,True,True,2020_fall,2027_spring
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,830,830,53,830,830,830,100.0,16086,48104.0,True,True,2020_fall,2027_spring
academic_unit:department_management_marketing,Department of Management and Marketing,9,237,237,19,237,237,237,100.0,3919,11667.0,True,True,2020_fall,2027_spring
academic_unit:department_mathematics,Department of Mathematics,16,882,882,34,882,882,882,100.0,19486,59298.0,True,True,2020_fall,2027_spring
academic_unit:department_military_science,Military Science,4,152,152,18,152,152,152,100.0,1759,3080.0,True,True,2020_fall,2027_spring
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,1081,1081,51,1081,1081,1081,100.0,16297,48633.0,True,True,2020_fall,2027_spring
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2047,2047,100,2047,2047,2047,100.0,17867,29090.0,True,True,2020_fall,2027_spring
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,680,680,29,680,680,680,100.0,12564,37628.0,True,True,2020_fall,2027_spring
academic_unit:department_political_science,Department of Political Science,11,472,472,27,472,472,472,100.0,9325,27937.0,True,True,2020_fall,2026_fall
academic_unit:department_psychology,Department of Psychology,19,950,950,41,950,950,950,100.0,23596,64224.0,True,True,2020_fall,2027_spring
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,903,903,61,903,903,903,100.0,15362,45057.0,True,True,2020_fall,2027_spring
academic_unit:sec,School of Engineering and Computing,27,1795,1795,71,1795,1795,1795,100.0,36474,89833.0,True,True,2020_fall,2027_spring
