academic_unit_id,department_name,direction,teaching_assignment_count,section_count,distinct_instructor_count,subject_prefixes,sections_with_enrollment,sections_with_explicit_credits,sch_ready_section_count,sch_ready_section_percent,enrollment_total,student_credit_hours,enrollment_complete,sch_complete
academic_unit:department_accounting_finance,Department of Accounting and Finance,home_faculty_outside_department,87,87,7,"[""BUSN"", ""MGMT""]",87,87,87,100.0,1969,5775.0,True,True
academic_unit:department_accounting_finance,Department of Accounting and Finance,department_subjects_taught_by_outside_faculty,222,222,39,"[""ACCT"", ""FINC""]",222,222,222,100.0,3563,10509.0,True,True
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",home_faculty_outside_department,96,96,6,"[""HONR"", ""NEUR"", ""PSYC""]",96,96,96,100.0,1109,3269.0,True,True
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department_subjects_taught_by_outside_faculty,974,974,60,"[""BCHM"", ""BIOL"", ""CHEM"", ""ENVS"", ""EVST"", ""NSCI""]",974,974,974,100.0,20574,40646.0,True,True
academic_unit:department_communication_studies,Department of Communication Studies,home_faculty_outside_department,16,16,4,"[""HONR"", ""IDST"", ""LDSP""]",16,16,16,100.0,224,618.0,True,True
academic_unit:department_communication_studies,Department of Communication Studies,department_subjects_taught_by_outside_faculty,287,287,31,"[""COMM"", ""HEAL""]",287,287,287,100.0,5121,15203.0,True,True
academic_unit:department_economics,Department of Economics,home_faculty_outside_department,4,4,2,"[""COMM"", ""HONR""]",4,4,4,100.0,68,204.0,True,True
academic_unit:department_economics,Department of Economics,department_subjects_taught_by_outside_faculty,138,138,14,"[""DTAN"", ""ECON""]",138,138,138,100.0,3277,9831.0,True,True
academic_unit:department_english,Department of English,home_faculty_outside_department,344,344,12,"[""COLL"", ""HIST"", ""HONR"", ""IDST"", ""TCHG""]",344,344,344,100.0,8470,4063.0,True,True
academic_unit:department_english,Department of English,department_subjects_taught_by_outside_faculty,293,293,29,"[""ENGL""]",293,293,293,100.0,4739,14169.0,True,True
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,home_faculty_outside_department,5,5,2,"[""HONR"", ""IDST""]",5,5,5,100.0,74,222.0,True,True
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,department_subjects_taught_by_outside_faculty,240,240,26,"[""FNAR""]",240,240,240,100.0,3081,9069.0,True,True
academic_unit:department_history,Department of History,home_faculty_outside_department,40,40,4,"[""CLST"", ""ENGL"", ""IDST"", ""LATN"", ""TCHG""]",40,40,40,100.0,488,1585.0,True,True
academic_unit:department_history,Department of History,department_subjects_taught_by_outside_faculty,327,327,19,"[""HIST""]",327,327,327,100.0,5707,17101.0,True,True
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,home_faculty_outside_department,30,30,6,"[""BUSN"", ""HEAL"", ""HONR"", ""IDST"", ""MGMT""]",30,30,30,100.0,596,1712.0,True,True
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,department_subjects_taught_by_outside_faculty,439,439,43,"[""AMST"", ""LDSP""]",439,439,439,100.0,8661,25887.0,True,True
academic_unit:department_management_marketing,Department of Management and Marketing,home_faculty_outside_department,157,157,7,"[""ACCT"", ""BUSN"", ""CPEN"", ""CPSC"", ""FINC"", ""HONR""]",157,157,157,100.0,3637,10697.0,True,True
academic_unit:department_management_marketing,Department of Management and Marketing,department_subjects_taught_by_outside_faculty,78,78,13,"[""MGMT"", ""MKTG""]",78,78,78,100.0,1355,4045.0,True,True
academic_unit:department_mathematics,Department of Mathematics,home_faculty_outside_department,23,23,4,"[""HONR"", ""TCHG""]",23,23,23,100.0,235,779.0,True,True
academic_unit:department_mathematics,Department of Mathematics,department_subjects_taught_by_outside_faculty,175,175,19,"[""MATH""]",175,175,175,100.0,4590,13961.0,True,True
academic_unit:department_military_science,Military Science,home_faculty_outside_department,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_military_science,Military Science,department_subjects_taught_by_outside_faculty,132,132,17,"[""MLSC"", ""NAVS""]",132,132,132,100.0,1602,2812.0,True,True
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,home_faculty_outside_department,39,39,7,"[""HONR"", ""IDST"", ""TCHG""]",39,39,39,100.0,553,1714.0,True,True
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department_subjects_taught_by_outside_faculty,540,540,36,"[""CHIN"", ""CLST"", ""FREN"", ""GERM"", ""GREK"", ""HBRW"", ""HUMN"", ""ITAL"", ""LATN"", ""MLAN"", ""SPAN""]",540,540,540,100.0,8757,26083.0,True,True
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",home_faculty_outside_department,24,24,7,"[""HONR"", ""IDST"", ""TCHG""]",24,24,24,100.0,213,791.0,True,True
