academic_unit_id,department_name,total_unique_sections,sections_with_enrollment,sections_with_explicit_credits,sch_ready_sections,sch_completeness_percent,known_sch,missing_sch,missing_section_count,status,sections_repaired,affected_section_percent,affected_known_enrollment_percent,potential_sch_affected_percent,comparison_impact,impact_basis
academic_unit:department_accounting_finance,Department of Accounting and Finance,591,591,591,591,100.0,32795.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",2711,2711,2711,2711,100.0,99588.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_communication_studies,Department of Communication Studies,707,707,707,707,100.0,37224.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_economics,Department of Economics,448,448,448,448,100.0,33873.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_english,Department of English,1406,1406,1406,1406,100.0,54531.0,0.0,0,COMPLETE,11,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,517,517,517,517,100.0,22273.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_history,Department of History,768,768,768,768,100.0,37077.0,0.0,0,COMPLETE,2,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,860,860,860,860,100.0,49816.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_management_marketing,Department of Management and Marketing,394,394,394,394,100.0,22364.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_mathematics,Department of Mathematics,905,905,905,905,100.0,60077.0,0.0,0,COMPLETE,82,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,1120,1120,1120,1120,100.0,50347.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",2071,2071,2071,2071,100.0,29881.0,0.0,0,COMPLETE,2,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,728,728,728,728,100.0,39785.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_political_science,Department of Political Science,488,488,488,488,100.0,28654.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_psychology,Department of Psychology,1052,1052,1052,1052,100.0,67072.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",947,947,947,947,100.0,46529.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:department_military_science,Military Science,152,152,152,152,100.0,3080.0,0.0,0,COMPLETE,0,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
academic_unit:sec,School of Engineering and Computing,1803,1803,1803,1803,100.0,90161.0,0.0,0,COMPLETE,10,0.0,0.0,,negligible,maximum of affected-section percentage and affected-known-enrollment percentage; potential SCH is unbounded when an input is absent
