academic_unit_id,department_name,faculty,academic_year,sch,sections,enrollment,distinct_instructors,sch_per_faculty
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2020-21,5024.0,89,1688,23,386.461538
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021-22,4686.0,95,1576,23,360.461538
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022-23,4181.0,81,1415,21,321.615385
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023-24,4823.0,80,1683,17,371.0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024-25,5173.0,75,1761,15,397.923077
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025-26,5695.0,86,1925,16,438.076923
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026-27,3213.0,85,1071,16,247.153846
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2020-21,15589.0,393,7727,59,433.027778
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021-22,14188.0,393,6988,54,394.111111
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022-23,14557.0,383,7131,55,404.361111
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2023-24,14519.0,389,7185,54,403.305556
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2024-25,15351.0,383,7459,55,426.416667
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2025-26,17194.0,425,8380,60,477.611111
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2026-27,8190.0,345,4138,46,227.5
academic_unit:department_communication_studies,Department of Communication Studies,13,2020-21,6224.0,105,2088,22,478.769231
academic_unit:department_communication_studies,Department of Communication Studies,13,2021-22,5817.0,97,1949,21,447.461538
academic_unit:department_communication_studies,Department of Communication Studies,13,2022-23,5744.0,100,1926,21,441.846154
academic_unit:department_communication_studies,Department of Communication Studies,13,2023-24,5807.0,99,1957,22,446.692308
academic_unit:department_communication_studies,Department of Communication Studies,13,2024-25,5531.0,106,1885,20,425.461538
academic_unit:department_communication_studies,Department of Communication Studies,13,2025-26,5681.0,106,1905,22,437.0
academic_unit:department_communication_studies,Department of Communication Studies,13,2026-27,2420.0,94,826,20,186.153846
academic_unit:department_economics,Department of Economics,9,2020-21,5613.0,67,1873,13,623.666667
academic_unit:department_economics,Department of Economics,9,2021-22,5295.0,66,1765,13,588.333333
academic_unit:department_economics,Department of Economics,9,2022-23,5553.0,60,1851,12,617.0
academic_unit:department_economics,Department of Economics,9,2023-24,5339.0,65,1781,12,593.222222
academic_unit:department_economics,Department of Economics,9,2024-25,4959.0,61,1653,14,551.0
academic_unit:department_economics,Department of Economics,9,2025-26,4720.0,67,1574,15,524.444444
academic_unit:department_economics,Department of Economics,9,2026-27,2394.0,62,798,13,266.0
academic_unit:department_english,Department of English,21,2020-21,9267.0,225,4416,34,441.285714
academic_unit:department_english,Department of English,21,2021-22,8175.0,205,3908,35,389.285714
academic_unit:department_english,Department of English,21,2022-23,7736.0,196,3732,32,368.380952
academic_unit:department_english,Department of English,21,2023-24,8479.0,202,3894,33,403.761905
