academic_unit_id,department_name,faculty,academic_term,term_label,academic_year,sch,sections,enrollment,distinct_instructors
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2020_fall,Fall 2020,2020-21,2374.0,44,792,22
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_spring,Spring 2021,2020-21,2602.0,42,880,18
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_may,Maymester 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_summer_1,Summer I 2021,2020-21,48.0,3,16,2
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_extended_summer,Extended Summer 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_summer_2,Summer II 2021,2020-21,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_fall,Fall 2021,2021-22,2308.0,47,770,20
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_spring,Spring 2022,2021-22,2348.0,46,796,21
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_may,Maymester 2022,2021-22,18.0,1,6,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_summer_1,Summer I 2022,2021-22,12.0,1,4,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_extended_summer,Extended Summer 2022,2021-22,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_summer_2,Summer II 2022,2021-22,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_fall,Fall 2022,2022-23,2050.0,38,684,16
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_spring,Spring 2023,2022-23,2131.0,43,731,20
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_may,Maymester 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_summer_1,Summer I 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_extended_summer,Extended Summer 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_summer_2,Summer II 2023,2022-23,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_fall,Fall 2023,2023-24,2285.0,40,785,14
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_spring,Spring 2024,2023-24,2454.0,37,870,13
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_may,Maymester 2024,2023-24,84.0,3,28,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_summer_1,Summer I 2024,2023-24,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_extended_summer,Extended Summer 2024,2023-24,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_summer_2,Summer II 2024,2023-24,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_fall,Fall 2024,2024-25,2430.0,36,810,13
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_spring,Spring 2025,2024-25,2632.0,37,914,12
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_may,Maymester 2025,2024-25,51.0,1,17,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_summer_1,Summer I 2025,2024-25,60.0,1,20,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_extended_summer,Extended Summer 2025,2024-25,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_summer_2,Summer II 2025,2024-25,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_fall,Fall 2025,2025-26,2553.0,38,851,14
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_spring,Spring 2026,2025-26,2878.0,41,986,14
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_may,Maymester 2026,2025-26,111.0,3,37,3
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_summer_1,Summer I 2026,2025-26,135.0,3,45,2
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_extended_summer,Extended Summer 2026,2025-26,0,0,0,0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_summer_2,Summer II 2026,2025-26,18.0,1,6,1
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_fall,Fall 2026,2026-27,3213.0,42,1071,14
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2027_spring,Spring 2027,2026-27,0.0,43,0,13
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2020_fall,Fall 2020,2020-21,7902.0,184,3908,54
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_spring,Spring 2021,2020-21,7320.0,189,3647,57
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_may,Maymester 2021,2020-21,204.0,8,88,6
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_summer_1,Summer I 2021,2020-21,146.0,9,75,6
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_extended_summer,Extended Summer 2021,2020-21,0,0,0,0
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_summer_2,Summer II 2021,2020-21,17.0,3,9,2
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_fall,Fall 2021,2021-22,6919.0,184,3477,51
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_spring,Spring 2022,2021-22,6697.0,185,3272,51
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_may,Maymester 2022,2021-22,200.0,7,86,6
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_summer_1,Summer I 2022,2021-22,312.0,13,128,8
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_extended_summer,Extended Summer 2022,2021-22,22.0,1,11,1
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_summer_2,Summer II 2022,2021-22,38.0,3,14,3
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_fall,Fall 2022,2022-23,7209.0,179,3593,49
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2023_spring,Spring 2023,2022-23,6681.0,185,3285,52
