academic_unit_id,department_name,faculty,academic_year,sch,sections,enrollment,distinct_instructors,sch_per_faculty
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2020-21,2032.0,39,678,20,156.307692
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021-22,1900.0,40,634,19,146.153846
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022-23,1588.0,31,530,15,122.153846
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023-24,1848.0,32,616,13,142.153846
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024-25,1911.0,31,637,12,147.0
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025-26,2085.0,32,695,13,160.384615
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026-27,2187.0,32,729,13,168.230769
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2020-21,7629.0,179,3817,53,211.916667
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021-22,6664.0,179,3392,51,185.111111
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022-23,6962.0,173,3510,49,193.388889
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2023-24,6804.0,175,3469,51,189.0
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2024-25,6954.0,170,3499,50,193.166667
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2025-26,8018.0,181,3999,54,222.722222
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2026-27,7982.0,180,4068,46,221.722222
academic_unit:department_communication_studies,Department of Communication Studies,13,2020-21,2775.0,48,931,21,213.461538
academic_unit:department_communication_studies,Department of Communication Studies,13,2021-22,2685.0,44,901,19,206.538462
academic_unit:department_communication_studies,Department of Communication Studies,13,2022-23,2682.0,45,898,18,206.307692
academic_unit:department_communication_studies,Department of Communication Studies,13,2023-24,2751.0,45,925,19,211.615385
academic_unit:department_communication_studies,Department of Communication Studies,13,2024-25,2505.0,44,841,18,192.692308
academic_unit:department_communication_studies,Department of Communication Studies,13,2025-26,2465.0,47,829,19,189.615385
academic_unit:department_communication_studies,Department of Communication Studies,13,2026-27,2419.0,48,825,18,186.076923
academic_unit:department_economics,Department of Economics,9,2020-21,2851.0,33,951,13,316.777778
academic_unit:department_economics,Department of Economics,9,2021-22,2724.0,33,908,13,302.666667
academic_unit:department_economics,Department of Economics,9,2022-23,2760.0,30,920,11,306.666667
academic_unit:department_economics,Department of Economics,9,2023-24,2698.0,30,900,12,299.777778
academic_unit:department_economics,Department of Economics,9,2024-25,2250.0,26,750,12,250.0
academic_unit:department_economics,Department of Economics,9,2025-26,2374.0,28,792,14,263.777778
academic_unit:department_economics,Department of Economics,9,2026-27,2346.0,32,782,13,260.666667
academic_unit:department_english,Department of English,21,2020-21,4566.0,88,1524,33,217.428571
academic_unit:department_english,Department of English,21,2021-22,4008.0,82,1336,33,190.857143
academic_unit:department_english,Department of English,21,2022-23,3615.0,72,1207,29,172.142857
academic_unit:department_english,Department of English,21,2023-24,3807.0,77,1271,32,181.285714
academic_unit:department_english,Department of English,21,2024-25,4031.0,72,1347,28,191.952381
academic_unit:department_english,Department of English,21,2025-26,4119.0,76,1373,32,196.142857
academic_unit:department_english,Department of English,21,2026-27,3688.0,67,1230,26,175.619048
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2020-21,1678.0,32,560,14,239.714286
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2021-22,1740.0,29,580,13,248.571429
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2022-23,1583.0,34,537,13,226.142857
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2023-24,1878.0,36,626,15,268.285714
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2024-25,1827.0,37,613,13,261.0
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2025-26,1783.0,33,597,16,254.714286
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2026-27,1708.0,28,570,12,244.0
academic_unit:department_history,Department of History,16,2020-21,3219.0,53,1073,20,201.1875
academic_unit:department_history,Department of History,16,2021-22,2966.0,58,992,22,185.375
academic_unit:department_history,Department of History,16,2022-23,2670.0,54,892,22,166.875
academic_unit:department_history,Department of History,16,2023-24,2646.0,48,882,20,165.375
academic_unit:department_history,Department of History,16,2024-25,2766.0,45,922,17,172.875
academic_unit:department_history,Department of History,16,2025-26,2737.0,44,913,16,171.0625
academic_unit:department_history,Department of History,16,2026-27,2463.0,42,821,13,153.9375
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2020-21,4072.0,68,1358,30,313.230769
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2021-22,3726.0,63,1244,24,286.615385
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2022-23,4322.0,68,1442,27,332.461538
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2023-24,3848.0,59,1284,23,296.0
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2024-25,3783.0,57,1263,25,291.0
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2025-26,3344.0,49,1116,22,257.230769
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2026-27,3213.0,49,1071,17,247.153846
academic_unit:department_management_marketing,Department of Management and Marketing,9,2020-21,634.0,11,212,5,70.444444
academic_unit:department_management_marketing,Department of Management and Marketing,9,2021-22,938.0,13,314,6,104.222222
academic_unit:department_management_marketing,Department of Management and Marketing,9,2022-23,745.0,13,249,7,82.777778
academic_unit:department_management_marketing,Department of Management and Marketing,9,2023-24,548.0,16,184,7,60.888889
academic_unit:department_management_marketing,Department of Management and Marketing,9,2024-25,637.0,12,213,6,70.777778
academic_unit:department_management_marketing,Department of Management and Marketing,9,2025-26,726.0,15,244,6,80.666667
academic_unit:department_management_marketing,Department of Management and Marketing,9,2026-27,799.0,11,267,6,88.777778
academic_unit:department_mathematics,Department of Mathematics,16,2020-21,5397.0,67,1748,22,337.3125
academic_unit:department_mathematics,Department of Mathematics,16,2021-22,4686.0,64,1549,22,292.875
academic_unit:department_mathematics,Department of Mathematics,16,2022-23,5233.0,68,1717,20,327.0625
academic_unit:department_mathematics,Department of Mathematics,16,2023-24,5250.0,61,1713,20,328.125
academic_unit:department_mathematics,Department of Mathematics,16,2024-25,4538.0,57,1487,18,283.625
academic_unit:department_mathematics,Department of Mathematics,16,2025-26,4298.0,56,1429,19,268.625
academic_unit:department_mathematics,Department of Mathematics,16,2026-27,4396.0,53,1474,15,274.75
academic_unit:department_military_science,Military Science,4,2020-21,248.0,11,143,5,62.0
academic_unit:department_military_science,Military Science,4,2021-22,221.0,8,128,4,55.25
academic_unit:department_military_science,Military Science,4,2022-23,246.0,9,142,4,61.5
academic_unit:department_military_science,Military Science,4,2023-24,245.0,8,139,3,61.25
academic_unit:department_military_science,Military Science,4,2024-25,279.0,12,159,5,69.75
academic_unit:department_military_science,Military Science,4,2025-26,248.0,16,143,5,62.0
academic_unit:department_military_science,Military Science,4,2026-27,208.0,12,112,4,52.0
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2020-21,4215.0,94,1423,35,263.4375
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2021-22,3713.0,87,1253,33,232.0625
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2022-23,3773.0,84,1259,30,235.8125
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2023-24,3725.0,80,1243,30,232.8125
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2024-25,4068.0,75,1356,28,254.25
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2025-26,3940.0,78,1318,30,246.25
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2026-27,3855.0,71,1285,26,240.9375
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2020-21,2567.0,167,1485,48,116.681818
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2021-22,2338.0,167,1413,48,106.272727
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2022-23,2270.0,158,1366,49,103.181818
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2023-24,2324.0,151,1391,45,105.636364
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2024-25,2167.0,151,1320,40,98.5
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2025-26,2259.0,138,1310,46,102.681818
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2026-27,2272.0,128,1273,41,103.272727
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2020-21,2971.0,51,991,21,228.538462
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2021-22,2638.0,47,882,19,202.923077
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2022-23,2627.0,49,877,20,202.076923
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2023-24,3042.0,48,1016,21,234.0
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2024-25,2901.0,43,969,19,223.153846
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2025-26,3002.0,41,1002,18,230.923077
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2026-27,2947.0,46,983,15,226.692308
academic_unit:department_political_science,Department of Political Science,11,2020-21,2489.0,43,835,19,226.272727
academic_unit:department_political_science,Department of Political Science,11,2021-22,2340.0,41,780,21,212.727273
academic_unit:department_political_science,Department of Political Science,11,2022-23,2094.0,35,698,16,190.363636
academic_unit:department_political_science,Department of Political Science,11,2023-24,1923.0,34,641,16,174.818182
academic_unit:department_political_science,Department of Political Science,11,2024-25,2001.0,33,667,16,181.909091
academic_unit:department_political_science,Department of Political Science,11,2025-26,2064.0,32,688,15,187.636364
academic_unit:department_political_science,Department of Political Science,11,2026-27,2118.0,32,706,10,192.545455
academic_unit:department_psychology,Department of Psychology,19,2020-21,5743.0,68,2089,27,302.263158
academic_unit:department_psychology,Department of Psychology,19,2021-22,5339.0,73,1947,28,281.0
academic_unit:department_psychology,Department of Psychology,19,2022-23,5229.0,70,1919,27,275.210526
academic_unit:department_psychology,Department of Psychology,19,2023-24,4888.0,63,1802,26,257.263158
academic_unit:department_psychology,Department of Psychology,19,2024-25,4694.0,61,1712,24,247.052632
academic_unit:department_psychology,Department of Psychology,19,2025-26,4381.0,67,1589,28,230.578947
academic_unit:department_psychology,Department of Psychology,19,2026-27,4134.0,60,1510,22,217.578947
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2020-21,3118.0,55,1049,20,183.411765
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2021-22,2825.0,59,964,23,166.176471
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2022-23,3037.0,59,1041,23,178.647059
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2023-24,3243.0,60,1099,24,190.764706
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2024-25,3672.0,60,1254,23,216.0
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2025-26,4022.0,62,1375,23,236.588235
