academic_unit_id,department_name,faculty,academic_term,term_label,academic_year,sch,sections,enrollment,distinct_instructors
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2020_fall,Fall 2020,2020-21,2032.0,39,678,20
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2021_fall,Fall 2021,2021-22,1900.0,40,634,19
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2022_fall,Fall 2022,2022-23,1588.0,31,530,15
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2023_fall,Fall 2023,2023-24,1848.0,32,616,13
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2024_fall,Fall 2024,2024-25,1911.0,31,637,12
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2025_fall,Fall 2025,2025-26,2085.0,32,695,13
academic_unit:department_accounting_finance,Department of Accounting and Finance,13,2026_fall,Fall 2026,2026-27,2187.0,32,729,13
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2020_fall,Fall 2020,2020-21,7629.0,179,3817,53
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2021_fall,Fall 2021,2021-22,6664.0,179,3392,51
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2022_fall,Fall 2022,2022-23,6962.0,173,3510,49
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2023_fall,Fall 2023,2023-24,6804.0,175,3469,51
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2024_fall,Fall 2024,2024-25,6954.0,170,3499,50
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2025_fall,Fall 2025,2025-26,8018.0,181,3999,54
academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",36,2026_fall,Fall 2026,2026-27,7982.0,180,4068,46
academic_unit:department_communication_studies,Department of Communication Studies,13,2020_fall,Fall 2020,2020-21,2775.0,48,931,21
academic_unit:department_communication_studies,Department of Communication Studies,13,2021_fall,Fall 2021,2021-22,2685.0,44,901,19
academic_unit:department_communication_studies,Department of Communication Studies,13,2022_fall,Fall 2022,2022-23,2682.0,45,898,18
academic_unit:department_communication_studies,Department of Communication Studies,13,2023_fall,Fall 2023,2023-24,2751.0,45,925,19
academic_unit:department_communication_studies,Department of Communication Studies,13,2024_fall,Fall 2024,2024-25,2505.0,44,841,18
academic_unit:department_communication_studies,Department of Communication Studies,13,2025_fall,Fall 2025,2025-26,2465.0,47,829,19
academic_unit:department_communication_studies,Department of Communication Studies,13,2026_fall,Fall 2026,2026-27,2419.0,48,825,18
academic_unit:department_economics,Department of Economics,9,2020_fall,Fall 2020,2020-21,2851.0,33,951,13
academic_unit:department_economics,Department of Economics,9,2021_fall,Fall 2021,2021-22,2724.0,33,908,13
academic_unit:department_economics,Department of Economics,9,2022_fall,Fall 2022,2022-23,2760.0,30,920,11
academic_unit:department_economics,Department of Economics,9,2023_fall,Fall 2023,2023-24,2698.0,30,900,12
academic_unit:department_economics,Department of Economics,9,2024_fall,Fall 2024,2024-25,2250.0,26,750,12
academic_unit:department_economics,Department of Economics,9,2025_fall,Fall 2025,2025-26,2374.0,28,792,14
academic_unit:department_economics,Department of Economics,9,2026_fall,Fall 2026,2026-27,2346.0,32,782,13
academic_unit:department_english,Department of English,21,2020_fall,Fall 2020,2020-21,4566.0,88,1524,33
academic_unit:department_english,Department of English,21,2021_fall,Fall 2021,2021-22,4008.0,82,1336,33
academic_unit:department_english,Department of English,21,2022_fall,Fall 2022,2022-23,3615.0,72,1207,29
