prefix,found_in_governance,found_in_catalog,found_in_schedule,category,rationale,confidence,suggested_action,review_priority
BIOL,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
ENGL,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
PSYC,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MATH,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MUSC,False,True,True,governance_gap,"Current catalog course descriptions support the prefix, but no governed ownership record exists.",1.0,Review governance; never promote automatically.,high
CHEM,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
HIST,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
COMM,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
BUSN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
LDSP,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
FNAR,False,True,True,governance_gap,"Current catalog course descriptions support the prefix, but no governed ownership record exists.",1.0,Review governance; never promote automatically.,high
HONR,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
SPAN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
POLS,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
ECON,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
PHIL,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
SOCL,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
THEA,False,True,True,governance_gap,"Current catalog course descriptions support the prefix, but no governed ownership record exists.",1.0,Review governance; never promote automatically.,high
ACCT,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
RSTD,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
AMST,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
TCHG,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
FINC,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
NEUR,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
ENVS,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",high
CRIM,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MLSC,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
DANC,False,True,True,governance_gap,"Current catalog course descriptions support the prefix, but no governed ownership record exists.",1.0,Review governance; never promote automatically.,high
ANTH,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
IDST,False,True,True,interdisciplinary,Catalog evidence identifies an interdisciplinary subject rather than ordinary department ownership.,1.0,Expected exception; review interdisciplinary governance context.,high
SOWK,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MGMT,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
FREN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MKTG,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
VOIC,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",high
COLL,False,True,True,service_subject,Catalog evidence identifies a service subject whose instructors may have different home units.,1.0,Expected exception; review service-subject governance context.,high
CLST,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
ENGR,False,True,True,governance_gap,"Current catalog course descriptions support the prefix, but no governed ownership record exists.",1.0,Review governance; never promote automatically.,high
GERM,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
LATN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MLAN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
GEOG,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
SAXO,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",high
PIAN,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",high
COMP,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",high
CHIN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
PMED,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
ARAB,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
BCHM,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
ITAL,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
HEAL,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
NSCI,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
URCA,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
EVST,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
GREK,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
DTAN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
CHLF,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
HUMN,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
MBCH,False,True,True,catalog_structure_limitation,"The prefix was extracted, but its catalog section cannot be resolved unambiguously.",0.5,Review catalog structure or exact section aliases.,high
FLUT,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
TRPT,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
CLAR,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
BTMG,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
PERC,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
TRMB,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
CELL,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
HORN,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
VIOL,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
VOLA,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
BASN,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
COND,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
TUBA,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
OBOE,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
